transit_timestamp,station_complex_id,station_complex,borough,ridership,transfers,latitude,longitude,hour,day_of_week,month,is_weekend,congestion_level
2024-09-01 21:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,443.0,2,40.732338,-74.000496,21,6,9,1,Medium
2024-09-01 21:00:00,407,Astor Pl (6),Manhattan,446.0,1,40.730053,-73.99107,21,6,9,1,Medium
2024-09-01 21:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,1105.0,5,40.725914,-73.99466,21,6,9,1,High
2024-09-01 22:00:00,16,"8 St-NYU (R,W)",Manhattan,401.0,0,40.730328,-73.99263,22,6,9,1,Medium
2024-09-01 22:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,411.0,2,40.732338,-74.000496,22,6,9,1,Medium
2024-09-01 22:00:00,407,Astor Pl (6),Manhattan,389.0,0,40.730053,-73.99107,22,6,9,1,Medium
2024-09-01 22:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,783.0,0,40.725914,-73.99466,22,6,9,1,High
2024-09-01 23:00:00,16,"8 St-NYU (R,W)",Manhattan,294.0,2,40.730328,-73.99263,23,6,9,1,Low
2024-09-01 23:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,1283.0,1,40.732338,-74.000496,23,6,9,1,High
2024-09-01 23:00:00,407,Astor Pl (6),Manhattan,241.0,0,40.730053,-73.99107,23,6,9,1,Low
2024-09-01 23:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,616.0,0,40.725914,-73.99466,23,6,9,1,Medium
2024-09-02 00:00:00,16,"8 St-NYU (R,W)",Manhattan,152.0,0,40.730328,-73.99263,0,0,9,0,Low
2024-09-02 00:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,832.0,0,40.732338,-74.000496,0,0,9,0,High
2024-09-02 00:00:00,407,Astor Pl (6),Manhattan,143.0,0,40.730053,-73.99107,0,0,9,0,Low
